"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGFFFLIJ_04947",4.76396493456117,-0.380235827446515,1.16744715565398,-0.325698534280565,0.744652453293029,0.82254960140072
"FGFFFLIJ_02484",604.15585757459,0.0566407996132566,0.174034431079463,0.325457435416298,0.744834892172081,0.822639942394922
"FGFFFLIJ_01052",8.2870456264256,0.331561784048311,1.02114139597514,0.324697231309171,0.745410230318527,0.822941755017333
"FGFFFLIJ_05539",63.3081335596139,-0.11039479268131,0.339980146789802,-0.324709527081777,0.745400923493379,0.822941755017333
"FGFFFLIJ_06253",440.577734977702,-0.0560436729940736,0.172503867005727,-0.324883574883645,0.745269188506239,0.822941755017333
"FGFFFLIJ_06907",13.1921264702589,-0.249373506883173,0.768811062638253,-0.324362537171905,0.745663578793378,0.823110268703171
"FGFFFLIJ_06860",120.831944575688,0.0822310365408382,0.253911245420036,0.323857403026032,0.746045994797037,0.82342119047619
"FGFFFLIJ_05939",132.487728410271,0.103085423377525,0.318475611133316,0.32368388590476,0.746177371817354,0.823454990529738
"FGFFFLIJ_00093",5.52826498417079,-0.398967054217102,1.2339157655024,-0.323334108673665,0.746442225114332,0.823586442661252
"FGFFFLIJ_04155",178.082277380082,0.0799019816160964,0.24726251472951,0.32314636006798,0.746584401776717,0.823586442661252
"FGFFFLIJ_06239",27.9820368724485,0.161828454210892,0.501025739169091,0.322994292627104,0.746699564434097,0.823586442661252
"FGFFFLIJ_07364",22.7274982800848,-0.210443428636022,0.651351775476267,-0.323087211180388,0.7466291953288,0.823586442661252
"FGFFFLIJ_06427",6.13335302709167,0.371338780809446,1.15295757135775,0.322074974859786,0.747395896155856,0.824243241031144
"FGFFFLIJ_08437",95.4741607015946,-0.104841451454508,0.325855162821375,-0.321742489966254,0.747647785644274,0.824409788460692
"FGFFFLIJ_01050",25.7207428903899,0.199213211864038,0.620421816661982,0.321093176471216,0.748139781140838,0.824841013255641
"FGFFFLIJ_02660",14.9330408522901,-0.253855940482902,0.791792411871122,-0.320609211046874,0.748506556426982,0.82502280319322
"FGFFFLIJ_05689",54.9769909300061,0.1401623658507,0.437015574779212,0.320726248535907,0.748417853840131,0.82502280319322
"FGFFFLIJ_02537",13.1727336367162,-0.237039694663287,0.739788732904167,-0.32041538904323,0.748653461234574,0.825025526817667
"FGFFFLIJ_05697",39.5956103706827,0.138066441071939,0.431226348387677,0.320171625848373,0.748838231255355,0.825025526817667
"FGFFFLIJ_06158",10.6082405355737,-0.251850766909488,0.786853547822219,-0.320073243116889,0.748912808449807,0.825025526817667
"FGFFFLIJ_06459",44.0727885423036,-0.166966152514394,0.521307689520934,-0.320283310357135,0.748753573743774,0.825025526817667
"FGFFFLIJ_03251",11.7074300496386,-0.250946169056089,0.785015360272302,-0.319670393416304,0.749218205639963,0.825139522260533
